Weights_0,Weights_1,Weights_2,Weights_3
1.756867196107637641e+00,-7.040958339920436737e-01,-7.040958339920436737e-01,-7.040958339920436737e-01
1.725546448752593776e+00,-7.163384028624338873e-01,-7.163384028624338873e-01,-7.163384028624338873e-01
1.695911299048745491e+00,-7.299627547607225875e-01,-7.299627547607225875e-01,-7.299627547607225875e-01
1.670570241526918798e+00,-7.427078269167787239e-01,-7.427078269167787239e-01,-7.427078269167787239e-01
1.651089532404512950e+00,-7.532026538547557104e-01,-7.532026538547557104e-01,-7.532026538547557104e-01
1.633070995748700627e+00,-7.634384978927772902e-01,-7.634384978927772902e-01,-7.634384978927772902e-01
1.618122017107407995e+00,-7.721946795418147547e-01,-7.721946795418147547e-01,-7.721946795418147547e-01
1.604988858535203455e+00,-7.801112920731744227e-01,-7.801112920731744227e-01,-7.801112920731744227e-01
1.592498869534253902e+00,-7.878012481817046053e-01,-7.878012481817046053e-01,-7.878012481817046053e-01
1.581004441902742030e+00,-7.949788673543568551e-01,-7.949788673543568551e-01,-7.949788673543568551e-01
1.569781354608325907e+00,-8.020836845455920905e-01,-8.020836845455920905e-01,-8.020836845455920905e-01
1.559581550113429360e+00,-8.085998024244730464e-01,-8.085998024244730464e-01,-8.085998024244730464e-01
1.550117310457672426e+00,-8.147163208960422898e-01,-8.147163208960422898e-01,-8.147163208960422898e-01
1.541637248491857459e+00,-8.202505104536886860e-01,-8.202505104536886860e-01,-8.202505104536886860e-01
1.534378174233741898e+00,-8.250352489149156421e-01,-8.250352489149156421e-01,-8.250352489149156421e-01
1.527941634358725098e+00,-8.293207869361621798e-01,-8.293207869361621798e-01,-8.293207869361621798e-01
1.522273343620984765e+00,-8.331256408963746418e-01,-8.331256408963746418e-01,-8.331256408963746418e-01
1.517149972899609178e+00,-8.365903066463917792e-01,-8.365903066463917792e-01,-8.365903066463917792e-01
1.512578360245168785e+00,-8.397007256512902806e-01,-8.397007256512902806e-01,-8.397007256512902806e-01
1.508319279135292623e+00,-8.426154652385252630e-01,-8.426154652385252630e-01,-8.426154652385252630e-01
1.504335069140249059e+00,-8.453536351984641817e-01,-8.453536351984641817e-01,-8.453536351984641817e-01
1.500732629907825855e+00,-8.478385450685906877e-01,-8.478385450685906877e-01,-8.478385450685906877e-01
1.497315763573469960e+00,-8.502058244756706129e-01,-8.502058244756706129e-01,-8.502058244756706129e-01
1.494071511077238013e+00,-8.524591176475820875e-01,-8.524591176475820875e-01,-8.524591176475820875e-01
1.491001674552866918e+00,-8.545952319349727766e-01,-8.545952319349727766e-01,-8.545952319349727766e-01
1.488104396704504007e+00,-8.566144055553064351e-01,-8.566144055553064351e-01,-8.566144055553064351e-01
1.485430492531045976e+00,-8.584799387871920873e-01,-8.584799387871920873e-01,-8.584799387871920873e-01
1.482969740740778475e+00,-8.602004595974407364e-01,-8.602004595974407364e-01,-8.602004595974407364e-01
1.480758044128219986e+00,-8.617498456095151749e-01,-8.617498456095151749e-01,-8.617498456095151749e-01
1.478755214744540858e+00,-8.631565854405304217e-01,-8.631565854405304217e-01,-8.631565854405304217e-01
1.476961498103509074e+00,-8.644184507163470421e-01,-8.644184507163470421e-01,-8.644184507163470421e-01
1.475382162330168390e+00,-8.655306844239547548e-01,-8.655306844239547548e-01,-8.655306844239547548e-01
1.474021934054731586e+00,-8.664893596096989725e-01,-8.664893596096989725e-01,-8.664893596096989725e-01
1.472887683380826429e+00,-8.672890713719907385e-01,-8.672890713719907385e-01,-8.672890713719907385e-01
1.471984219876512734e+00,-8.679262725624399266e-01,-8.679262725624399266e-01,-8.679262725624399266e-01
1.471315828823734018e+00,-8.683978290629112973e-01,-8.683978290629112973e-01,-8.683978290629112973e-01
1.470885652896708473e+00,-8.687011530733126374e-01,-8.687011530733126374e-01,-8.687011530733126374e-01
1.470694517131374335e+00,-8.688358719182792678e-01,-8.688358719182792678e-01,-8.688358719182792678e-01
1.470741715616518341e+00,-8.688026234623712485e-01,-8.688026234623712485e-01,-8.688026234623712485e-01
1.471023357878934235e+00,-8.686045958181054516e-01,-8.686045958181054516e-01,-8.686045958181054516e-01
1.471538277348250823e+00,-8.682426113110620625e-01,-8.682426113110620625e-01,-8.682426113110620625e-01
1.472283704347677968e+00,-8.677184890821870722e-01,-8.677184890821870722e-01,-8.677184890821870722e-01
1.473253910750028428e+00,-8.670368259182552606e-01,-8.670368259182552606e-01,-8.670368259182552606e-01
1.474442124058584769e+00,-8.662013389212124270e-01,-8.662013389212124270e-01,-8.662013389212124270e-01
1.475832056601700470e+00,-8.652255139217185365e-01,-8.652255139217185365e-01,-8.652255139217185365e-01
1.477420173280056481e+00,-8.641124733456866380e-01,-8.641124733456866380e-01,-8.641124733456866380e-01
1.479158466921296045e+00,-8.628955570949090603e-01,-8.628955570949090603e-01,-8.628955570949090603e-01
1.481025557927744041e+00,-8.615927581732644169e-01,-8.615927581732644169e-01,-8.615927581732644169e-01
1.482963409839332947e+00,-8.602448985462886055e-01,-8.602448985462886055e-01,-8.602448985462886055e-01
1.484924563568444489e+00,-8.588868395161332048e-01,-8.588868395161332048e-01,-8.588868395161332048e-01
1.486945723106481543e+00,-8.574941905593372882e-01,-8.574941905593372882e-01,-8.574941905593372882e-01
1.488991985760985903e+00,-8.560893404979014187e-01,-8.560893404979014187e-01,-8.560893404979014187e-01
1.491086029246106559e+00,-8.546580260953507979e-01,-8.546580260953507979e-01,-8.546580260953507979e-01
1.493214080697480961e+00,-8.532082329826551348e-01,-8.532082329826551348e-01,-8.532082329826551348e-01
1.495337879581968066e+00,-8.517665043745097364e-01,-8.517665043745097364e-01,-8.517665043745097364e-01
1.497473395541245589e+00,-8.503232108652720722e-01,-8.503232108652720722e-01,-8.503232108652720722e-01
1.499600062074377682e+00,-8.488909158403258326e-01,-8.488909158403258326e-01,-8.488909158403258326e-01
1.501703110705769451e+00,-8.474802935112797364e-01,-8.474802935112797364e-01,-8.474802935112797364e-01
1.503782553058317983e+00,-8.460914220777805417e-01,-8.460914220777805417e-01,-8.460914220777805417e-01
1.505846316651924033e+00,-8.447185141197987024e-01,-8.447185141197987024e-01,-8.447185141197987024e-01
1.507885743844204818e+00,-8.433664221798794491e-01,-8.433664221798794491e-01,-8.433664221798794491e-01
1.509885635293207518e+00,-8.420453459143499853e-01,-8.420453459143499853e-01,-8.420453459143499853e-01
1.511853557384709390e+00,-8.407506193998112165e-01,-8.407506193998112165e-01,-8.407506193998112165e-01
1.513778296328117001e+00,-8.394884292805674386e-01,-8.394884292805674386e-01,-8.394884292805674386e-01
1.515658227146233550e+00,-8.382602609023754869e-01,-8.382602609023754869e-01,-8.382602609023754869e-01
1.517479297836528795e+00,-8.370746408150706586e-01,-8.370746408150706586e-01,-8.370746408150706586e-01
1.519231616674806995e+00,-8.359384771745718146e-01,-8.359384771745718146e-01,-8.359384771745718146e-01
1.520909988151688319e+00,-8.348550261622318391e-01,-8.348550261622318391e-01,-8.348550261622318391e-01
1.522517578420035989e+00,-8.338219427299089492e-01,-8.338219427299089492e-01,-8.338219427299089492e-01
1.524055966278871743e+00,-8.328373731508547095e-01,-8.328373731508547095e-01,-8.328373731508547095e-01
1.525530113153279466e+00,-8.318975249500943914e-01,-8.318975249500943914e-01,-8.318975249500943914e-01
1.526938770114282695e+00,-8.310021102598976750e-01,-8.310021102598976750e-01,-8.310021102598976750e-01
1.528279394722465323e+00,-8.301524401428929112e-01,-8.301524401428929112e-01,-8.301524401428929112e-01
1.529547384253808984e+00,-8.293510226201935565e-01,-8.293510226201935565e-01,-8.293510226201935565e-01
1.530737114396174325e+00,-8.286013470301720751e-01,-8.286013470301720751e-01,-8.286013470301720751e-01
1.531847366006817923e+00,-8.279041401184972226e-01,-8.279041401184972226e-01,-8.279041401184972226e-01
1.532874684327782067e+00,-8.272609584456286358e-01,-8.272609584456286358e-01,-8.272609584456286358e-01
1.533820497293852725e+00,-8.266708556198059110e-01,-8.266708556198059110e-01,-8.266708556198059110e-01
1.534686133862496193e+00,-8.261319740405401735e-01,-8.261319740405401735e-01,-8.261319740405401735e-01
1.535469664722272976e+00,-8.256447345892912182e-01,-8.256447345892912182e-01,-8.256447345892912182e-01
1.536168271795761653e+00,-8.252110351161865420e-01,-8.252110351161865420e-01,-8.252110351161865420e-01
1.536779516333660389e+00,-8.248320729834874854e-01,-8.248320729834874854e-01,-8.248320729834874854e-01
1.537298283386113740e+00,-8.245110896010412471e-01,-8.245110896010412471e-01,-8.245110896010412471e-01
1.537723776813469057e+00,-8.242488664745583060e-01,-8.242488664745583060e-01,-8.242488664745583060e-01
1.538057858872563965e+00,-8.240437232250440447e-01,-8.240437232250440447e-01,-8.240437232250440447e-01
