Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
344,0.3627,-0.1796,-7.5106,-0.023,-0.0159,-0.0047
345,0.3675,-0.1963,-7.5058,-0.0233,-0.016,-0.0052
346,0.3687,-0.1939,-7.5118,-0.0249,-0.0156,-0.0045
347,0.3699,-0.1832,-7.5082,-0.0232,-0.0164,-0.0044
348,0.3723,-0.2119,-7.5106,-0.0241,-0.0149,-0.0049
349,0.3771,-0.182,-7.5022,-0.0241,-0.0156,-0.0055
350,0.3699,-0.1891,-7.4986,-0.0245,-0.0155,-0.0052
351,0.3579,-0.1915,-7.5238,-0.0245,-0.0157,-0.0045
352,0.3579,-0.1963,-7.5142,-0.0241,-0.0151,-0.0048
353,0.3675,-0.1939,-7.5226,-0.0242,-0.0155,-0.0052
354,0.3579,-0.1939,-7.4879,-0.0236,-0.0145,-0.0051
355,0.3687,-0.2095,-7.5094,-0.0241,-0.0155,-0.0049
356,0.3555,-0.2191,-7.4927,-0.0246,-0.0164,-0.0049
357,0.3867,-0.1951,-7.4891,-0.0233,-0.0161,-0.0043
358,0.3723,-0.1999,-7.5034,-0.0241,-0.016,-0.0057
359,0.3699,-0.1796,-7.507,-0.025,-0.0151,-0.0056
360,0.3627,-0.1856,-7.501,-0.0242,-0.0156,-0.0052
361,0.3687,-0.1856,-7.5106,-0.0234,-0.0159,-0.0051
362,0.3687,-0.1879,-7.519,-0.0233,-0.0164,-0.0051
363,0.3651,-0.2023,-7.5094,-0.0241,-0.0163,-0.0052
364,0.3711,-0.2071,-7.5022,-0.024,-0.0155,-0.0053
365,0.3651,-0.1999,-7.5094,-0.0238,-0.0149,-0.0048
366,0.3651,-0.1951,-7.5226,-0.0248,-0.0153,-0.0048
367,0.3711,-0.1891,-7.5202,-0.0248,-0.0159,-0.0049
368,0.3603,-0.1951,-7.513,-0.0238,-0.0159,-0.0051
369,0.3771,-0.1844,-7.4843,-0.024,-0.0155,-0.0045
370,0.3627,-0.1879,-7.5094,-0.0238,-0.0157,-0.0039
371,0.3663,-0.1903,-7.5094,-0.0238,-0.0161,-0.0043
372,0.3711,-0.1903,-7.4927,-0.0244,-0.0149,-0.0048
373,0.3555,-0.182,-7.5166,-0.0229,-0.0156,-0.0053
374,0.3771,-0.2131,-7.5405,-0.0233,-0.0153,-0.004
375,0.3639,-0.2071,-7.5154,-0.025,-0.0156,-0.0045
376,0.3651,-0.2035,-7.5094,-0.0232,-0.0148,-0.0048
377,0.3591,-0.1903,-7.5118,-0.0238,-0.0144,-0.0049
378,0.3567,-0.2251,-7.5166,-0.0244,-0.0156,-0.0052
