Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
147,4.654328,0.311246,-5.963956,-0.100456,4.365588,-0.241681
148,6.663064,-0.727837,8.046912,0.761417,4.365588,-0.124038
149,0.296881,-0.545878,13.029245,0.141891,0.673617,-0.033974
150,-0.104148,0.117316,12.579136,-0.041435,0.117776,-0.009326
151,-0.52433,0.125696,12.309788,-0.035306,0.084335,-0.013456
152,-0.714669,-0.106542,12.340913,0.037838,0.046364,-0.02598
153,-0.700304,-0.019154,12.272678,0.00373,0.03091,-0.021717
154,-0.328006,0.54109,13.055582,0.116311,-0.096593,0.249942
155,-0.136469,0.834379,12.016499,-0.475502,0.224894,0.927023
156,-2.480393,-0.45849,12.51928,-0.564767,0.333744,0.683743
157,-2.96043,-1.289278,11.760319,-0.79619,-0.151084,0.477767
158,-3.863045,-3.801992,11.452663,-1.078507,0.022516,-0.089665
159,-1.793257,-5.940014,10.0748,-1.409853,-0.584352,-0.306698
160,-0.693121,-8.079233,8.149862,-1.582787,-1.597043,-0.32202
161,1.944092,-8.810662,3.339911,-1.568531,-2.563103,-0.372381
162,3.365051,-8.517372,-0.808043,-1.225328,-0.495087,-1.025881
163,2.391808,-5.455189,-4.006697,-1.073977,-0.300436,-1.554942
164,4.107253,-2.092532,-6.071695,-1.032276,-0.645772,-1.271292
165,2.882619,0.981623,-6.89171,-0.947141,-0.492156,-1.155781
166,2.516306,3.620033,-7.314286,-0.667222,0.081804,-0.64324
167,0.968455,3.207033,-6.91206,-0.489625,0.206908,-0.225028
168,0.226252,3.600879,-5.05416,0.098591,0.88239,-0.000533
169,-0.140061,4.912902,-6.739678,0.221963,-0.660028,0.22596
170,0.520739,2.693477,-6.898892,0.913966,-0.506545,0.688806
171,1.559822,0.620098,-8.098388,1.002565,-0.010392,0.217034
172,0.869095,-1.752556,-7.949947,1.016288,-0.346668,0.166406
173,1.303643,-4.607641,-6.947973,0.94794,0.202245,-0.070613
174,0.791284,-5.761646,-4.496311,0.798988,-0.197715,0.123239
175,0.312443,-5.580884,-4.480749,-0.74836,-0.403824,-0.023715
176,0.59855,-4.446033,-6.47871,-1.263832,0.162809,-0.176665
177,0.896629,-1.312023,-7.504625,-1.127669,-0.065283,0.062086
178,0.924162,-0.663194,-7.411252,-0.065683,-0.226626,-0.001466
179,0.335188,-0.12809,-7.541735,-0.016254,-0.015188,-0.025181
180,0.355539,-0.260968,-7.523779,-0.022516,-0.015588,-0.004663
181,0.383072,-0.183156,-7.522582,-0.022649,-0.016254,-0.00493
182,0.379481,-0.179565,-7.493851,-0.022783,-0.015988,-0.004796
183,0.383072,-0.183156,-7.499837,-0.023182,-0.01772,-0.004796
184,0.365116,-0.195127,-7.541735,-0.024115,-0.019185,-0.003864
185,0.336385,-0.175974,-7.50702,-0.023582,-0.016654,-0.005063
186,0.366313,-0.187945,-7.516596,-0.023449,-0.015855,-0.004663
187,0.371101,-0.181959,-7.493851,-0.022783,-0.015455,-0.005462
188,0.349553,-0.192733,-7.52737,-0.023582,-0.015988,-0.004397
189,0.350751,-0.203507,-7.499837,-0.022649,-0.015588,-0.005063
190,0.374693,-0.172383,-7.504625,-0.022916,-0.015322,-0.004397
191,0.363919,-0.190339,-7.520187,-0.02145,-0.016787,-0.00453
192,0.37589,-0.172383,-7.538144,-0.022649,-0.016387,-0.00413
193,0.345962,-0.17358,-7.513005,-0.022383,-0.016254,-0.005063
194,0.350751,-0.17358,-7.544129,-0.022783,-0.015455,-0.005196
195,0.355539,-0.191536,-7.491457,-0.023449,-0.016254,-0.005596
