# Weights_0	Weights_1	Weights_2	Weights_3
7.647094214688426872e-01	5.002057139223947679e-01	6.599520900204264295e-01	1.091110021426715981e+00
7.426652039112254799e-01	5.576289075435046927e-01	6.701080733993758365e-01	1.073387897500490462e+00
7.628142446747000482e-01	5.250516768915154397e-01	7.159383104008949505e-01	1.074045073740346412e+00
7.577227734246462232e-01	5.468959380109857937e-01	6.846283416922251952e-01	1.122647376531210606e+00
7.378568151412404630e-01	5.567524533666784459e-01	7.320280888580651402e-01	1.110261621436660739e+00
7.455975845725861806e-01	5.320627978421915705e-01	7.347226305744847252e-01	1.152936995669512577e+00
7.285808645216715895e-01	5.536216925130429400e-01	7.311164351541289408e-01	1.172755042910956558e+00
7.923505585706527299e-01	5.219085613801269785e-01	7.349085233297331099e-01	1.162526637397311102e+00
7.912621217700566145e-01	5.826791698648324802e-01	6.996995314894141060e-01	1.164420670800322855e+00
8.141554812742708425e-01	5.745432274917017246e-01	7.516794604479658526e-01	1.125930965770322034e+00
8.383403161162872319e-01	5.826026477340784382e-01	7.189476419981249977e-01	1.162305737109351478e+00
8.469061611285590985e-01	6.101426577405610896e-01	7.378244747354288924e-01	1.138583762751576911e+00
8.401190539605253305e-01	6.153688800015836291e-01	7.587547287962247422e-01	1.152767446385465133e+00
8.270152285357635913e-01	6.152473763375296834e-01	7.747587434154411534e-01	1.179833650696896274e+00
8.588327070004644348e-01	5.981461514476350549e-01	7.719886679503221716e-01	1.196427280080077260e+00
8.245690521541303442e-01	6.410300064047608215e-01	7.761734105179115550e-01	1.205994403815632499e+00
8.082002370476603081e-01	6.145778260280361227e-01	8.282558284920384928e-01	1.215821708719606375e+00
8.555570399683017913e-01	5.882618488087597575e-01	7.882945827499792113e-01	1.256361314990244393e+00
8.214605344917135232e-01	6.499788661541519019e-01	7.915303031287019841e-01	1.238898638033847144e+00
7.796429203543525643e-01	6.244907432139749082e-01	8.581239519087526801e-01	1.249256626637354817e+00
7.686870256936199075e-01	5.913232398735248641e-01	8.410083002737486213e-01	1.317728443127233584e+00
8.008770067830944805e-01	5.893036847428352321e-01	8.210538614122769863e-01	1.312084772027832802e+00
8.350609462243949732e-01	6.061086497202805567e-01	8.065383725483734612e-01	1.284081993291722235e+00
8.156437301318358868e-01	6.370483570214044988e-01	8.196918792130947207e-01	1.267481340310378402e+00
8.205289866664386977e-01	6.140332738092544318e-01	8.419036329940706720e-01	1.273300226441086425e+00
8.026009130494314858e-01	6.250846452760819849e-01	8.287028789370370907e-01	1.299397744491357587e+00
8.051456964019049201e-01	6.138846534490947082e-01	8.456011661006731517e-01	1.294382217560902548e+00
7.978297453732788869e-01	6.172476207061986520e-01	8.368268458383785191e-01	1.309468144721047000e+00
7.995612433811305486e-01	6.134432595574009772e-01	8.437339083600969847e-01	1.305489353305621547e+00
7.968900987082356835e-01	6.149112367020002079e-01	8.403286005562126126e-01	1.310818038320813894e+00
