Time,FTRLS_Output,FTRLS_Error
7.214428857715429744e-02,1.699334139455347170e+00,-9.317182199439622003e-01
7.414829659318636357e-02,5.118610348662828713e-01,2.139104736185192257e-01
7.615230460921842970e-02,-1.559114236493305050e+00,2.240165557559371301e+00
7.815631262525049583e-02,-1.374375870184472381e+00,2.008008425438921218e+00
8.016032064128256196e-02,-1.627152221966361001e+00,2.210855323785887894e+00
8.216432865731462809e-02,-1.209542872548319048e+00,1.741003672356457255e+00
8.416833667334668034e-02,-1.161323024815492877e+00,1.638435677448062844e+00
8.617234468937874647e-02,3.747738853778590951e+00,-3.326864845932474335e+00
8.817635270541081260e-02,-4.335225921741321375e-01,7.964902960301973867e-01
9.018036072144287874e-02,-7.232991180595516045e-01,1.026922305014668968e+00
9.218436873747494487e-02,-2.190890079692371373e+00,2.433965681862299224e+00
9.418837675350701100e-02,1.539341322143098711e+00,-1.357776460613964842e+00
9.619238476953906325e-02,-1.844669260627743723e+00,1.964003954070495217e+00
9.819639278557112938e-02,3.076184755662093040e-01,-2.509867986065538181e-01
1.002004008016031955e-01,-9.590083505115309936e-01,9.527126152412955795e-01
1.022044088176352616e-01,1.333720146512468396e+00,-1.402918347970141921e+00
1.042084168336673278e-01,-6.065633579113758334e-01,4.747368792524735426e-01
1.062124248496993939e-01,-1.287829588367990663e+00,1.093897177999182846e+00
1.082164328657314600e-01,2.360060028275340893e-01,-4.912759126367352569e-01
1.102204408817635123e-01,9.927368908954554705e-01,-1.308332825911528774e+00
1.122244488977955784e-01,1.790337723455739383e-01,-5.537052242077361575e-01
1.142284569138276445e-01,-5.011563872324997782e-02,-3.821467424757339915e-01
1.162324649298597107e-01,-1.259444792764048637e+00,7.713042663986537928e-01
1.182364729458917768e-01,-4.946561404331948908e-01,-4.742833695436149410e-02
1.202404809619238429e-01,-6.551602437039109050e-01,6.127975541639218982e-02
1.222444889779558952e-01,1.521968654220524630e-01,-7.955201894462602397e-01
1.242484969939879613e-01,-4.071142947648664911e-01,-2.831027789460531796e-01
1.262525050100200275e-01,-1.213630684129674009e+00,4.792547572426297808e-01
1.282565130260520936e-01,1.438881861793092964e+00,-2.214506771561248311e+00
1.302605210420841597e-01,7.716173119418139326e-01,-1.585417890498973303e+00
1.322645290581162258e-01,-6.021599387774390078e-01,-2.465917282919077858e-01
1.342685370741482920e-01,1.711466473282098555e+00,-2.591806159387326502e+00
1.362725450901803581e-01,2.800355897446904496e-01,-1.188475061940885702e+00
1.382765531062124242e-01,1.651243229838440296e+00,-2.584182913387135017e+00
1.402805611222444904e-01,1.675130993613801245e+00,-2.628874234835585355e+00
1.422845691382765287e-01,1.044534569169742966e+00,-2.015302282959709146e+00
1.442885771543085949e-01,1.638146129274930196e+00,-2.622091773242058554e+00
1.462925851703406610e-01,-1.217498859797941257e+00,2.242740439005669328e-01
1.482965931863727271e-01,1.478472177576675373e+00,-2.477040639630321728e+00
1.503006012024047933e-01,3.460661489868168683e-01,-1.346021557911147415e+00
1.523046092184368594e-01,1.199589579433522513e+00,-2.196969740344098199e+00
1.543086172344689255e-01,1.367371191777513095e+00,-2.358224113879412442e+00
1.563126252505009917e-01,2.230590227215277999e+00,-3.210989783059071456e+00
1.583166332665330578e-01,2.454780733821317895e+00,-3.420842216078856968e+00
1.603206412825651239e-01,8.391650418372433862e-01,-1.787060555955537922e+00
1.623246492985971901e-01,3.150218811195591329e+00,-4.076192442937363936e+00
1.643286573146292562e-01,2.094719165304469666e+00,-2.995101863075949389e+00
1.663326653306613223e-01,1.196461761797196210e-02,-8.831887306146253280e-01
1.683366733466933607e-01,3.019185942081557883e+00,-3.857799356646208988e+00
1.703406813627254268e-01,3.050849869548621029e+00,-3.853529687728464825e+00
1.723446893787574929e-01,1.540333951618274133e+00,-2.303899657721260930e+00
1.743486973947895591e-01,-1.329050309551327080e+00,6.076242465715353536e-01
1.763527054108216252e-01,-1.217652238766288475e+00,5.412243770321127911e-01
1.783567134268536913e-01,2.392841693411849935e+00,-3.021591095371343183e+00
1.803607214428857575e-01,1.098274566760254034e+00,-1.676854170189552518e+00
1.823647294589178236e-01,2.636084635247009089e+00,-3.162201892774011203e+00
1.843687374749498897e-01,2.932406783570515874e-01,-7.648109179175984762e-01
1.863727454909819559e-01,1.401982425353582418e+00,-1.817137110436781500e+00
1.883767535070140220e-01,-6.745248657414405768e-02,-2.896416469100285829e-01
1.903807615230460881e-01,6.678747174840753420e-01,-9.654933597265866752e-01
1.923847695390781265e-01,-3.513363099616096941e-01,1.143724346077359955e-01
1.943887775551101926e-01,1.702610965365131346e+00,-1.877981134907346750e+00
1.963927855711422588e-01,-7.427207220267100229e-01,6.296391400703218455e-01
1.983967935871743249e-01,-2.598242431469922065e-01,2.094793200219628448e-01
2.004008016032063910e-01,7.036711368138858225e-01,-6.910799158154300459e-01
2.024048096192384572e-01,-2.335107891447769646e+00,2.410585365473584041e+00
