# Time	RLS_Output	RLS_Error
1.462925851703406610e-01	-9.273753866202658624e-01	-6.584942927710846217e-02
1.482965931863727271e-01	-9.214720042622519536e-01	-7.709645779139451260e-02
1.503006012024047933e-01	-9.584114494051835242e-01	-4.154395951914691132e-02
1.523046092184368594e-01	-9.818167161413021704e-01	-1.556344476927329357e-02
1.543086172344689255e-01	-1.018128576948137853e+00	2.727565484623850622e-02
1.563126252505009917e-01	-1.017072947382119175e+00	3.667339153832560594e-02
1.583166332665330578e-01	-9.938951741262462836e-01	2.783369186870732204e-02
1.603206412825651239e-01	-1.013664109576058792e+00	6.576859545776414517e-02
1.623246492985971901e-01	-9.266764374071225774e-01	7.028056653503034212e-04
1.643286573146292562e-01	-8.780662911079611943e-01	-2.231640666351863977e-02
1.663326653306613223e-01	-9.114238006795649660e-01	4.019968768291160011e-02
1.683366733466933607e-01	-8.395324134236349378e-01	9.189988589839437338e-04
1.703406813627254268e-01	-7.263062131282832512e-01	-7.637360505156054469e-02
1.723446893787574929e-01	-6.460410351183391020e-01	-1.175246709846475834e-01
1.743486973947895591e-01	-6.387442924118692522e-01	-8.268177056792247459e-02
1.763527054108216252e-01	-6.643846603768669423e-01	-1.204320135730874153e-02
1.783567134268536913e-01	-5.949587576236717856e-01	-3.379064433582135152e-02
1.803607214428857575e-01	-5.512008394354281915e-01	-2.737876399387029203e-02
1.823647294589178236e-01	-4.931917418598713021e-01	-3.292551566713081135e-02
1.843687374749498897e-01	-4.429643388336283460e-01	-2.860590072691854280e-02
1.863727454909819559e-01	-3.609425064479477863e-01	-5.421217863525124026e-02
1.883767535070140220e-01	-2.947370908767855124e-01	-6.235704260738711424e-02
1.903807615230460881e-01	-1.876030501604436795e-01	-1.100155920820677091e-01
1.923847695390781265e-01	-1.484084273289852096e-01	-8.855544802488848899e-02
1.943887775551101926e-01	-3.306327433736828275e-02	-1.423068952048472391e-01
1.963927855711422588e-01	-3.302815176076320802e-03	-1.097787667803118844e-01
1.983967935871743249e-01	2.238090192663306360e-02	-7.272582505166241829e-02
2.004008016032063910e-01	1.421908403318070946e-01	-1.295996193333512903e-01
2.024048096192384572e-01	1.058521493187103146e-01	-3.037467529289587798e-02
2.044088176352705233e-01	6.982300263191552891e-02	6.824165462393812220e-02
2.064128256513025894e-01	1.441202118004669963e-01	5.598456521257705321e-02
2.084168336673346555e-01	1.210791434881381134e-01	1.402728638024678676e-01
2.104208416833667217e-01	1.856771662234967535e-01	1.358864975809984388e-01
2.124248496993987878e-01	2.308443112141985443e-01	1.496568543845095689e-01
2.144288577154308539e-01	2.397372288429556464e-01	1.981937515487211809e-01
2.164328657314629201e-01	3.127118874336176080e-01	1.809136624843297736e-01
2.184368737474949584e-01	4.573303127409463209e-01	9.003387885763108889e-02
2.204408817635270246e-01	5.703399272457296831e-01	2.859404572178814163e-02
2.224448897795590907e-01	6.659314526999905448e-01	-1.780089731083533966e-02
2.244488977955911568e-01	6.511288948331520610e-01	4.363010889076768262e-02
2.264529058116232230e-01	7.243672056090300071e-01	1.426735312470761574e-02
2.284569138276552891e-01	7.939852517003738175e-01	-1.440188253359242498e-02
2.304609218436873552e-01	8.200822615003828808e-01	-2.639080879651145572e-03
2.324649298597194214e-01	9.035157376624175507e-01	-5.145175920741162923e-02
2.344689378757514875e-01	9.353430980563061103e-01	-5.203451585180063343e-02
2.364729458917835536e-01	9.743304972310867784e-01	-6.327730809149645363e-02
2.384769539078156197e-01	1.048005265140918407e+00	-1.128174003224217126e-01
2.404809619238476859e-01	1.083431413618119343e+00	-1.278144349296760351e-01
2.424849699398797520e-01	1.017260546414834099e+00	-4.500096340542059092e-02
2.444889779559117904e-01	1.064349592599696415e+00	-7.929985900051517156e-02
2.464929859719438565e-01	1.080663557176571477e+00	-8.672680604790827807e-02
2.484969939879759226e-01	1.026125308907152256e+00	-2.723988697490187239e-02
2.505010020040079888e-01	1.033666905583944029e+00	-3.379076804650671395e-02
2.525050100200400549e-01	9.829648382879205837e-01	1.394013407295469076e-02
2.545090180360721210e-01	1.020038207926199814e+00	-3.005450866320769077e-02
2.565130260521041872e-01	1.022777462584317565e+00	-4.363771968477248020e-02
2.585170340681362533e-01	9.900997048689255120e-01	-2.568363381398186540e-02
2.605210420841683194e-01	9.508941118457159281e-01	-5.023087457791675092e-03
2.625250501002003856e-01	9.531125803982928302e-01	-2.953449513411288141e-02
2.645290581162324517e-01	8.783680553833426163e-01	1.925753120858286760e-02
2.665330661322645178e-01	8.505652563221223206e-01	1.755110549196980951e-02
2.685370741482965840e-01	8.121225364107764744e-01	2.304480103324091367e-02
2.705410821643286501e-01	8.211544857239949646e-01	-2.224541596484241879e-02
2.725450901803607162e-01	8.414576584092797740e-01	-8.197243092070050086e-02
2.745490981963927823e-01	7.695571567798373813e-01	-5.250513423571123717e-02
2.765531062124248485e-01	7.770736382844549706e-01	-1.052960472337307607e-01
2.785571142284569146e-01	6.871335494220652818e-01	-6.329222229345610184e-02
2.805611222444889807e-01	5.951044447638685897e-01	-2.167127269670965362e-02
2.825651302605209914e-01	5.663329614980456839e-01	-4.558009979111643517e-02
2.845691382765530575e-01	5.049037592580363221e-01	-3.889462424600581558e-02
2.865731462925851236e-01	4.803908594314986735e-01	-7.097195246269311086e-02
2.885771543086171897e-01	5.504764647804629707e-01	-1.992700556924237310e-01
2.905811623246492559e-01	5.599344182214274213e-01	-2.683321173050250974e-01
2.925851703406813220e-01	4.458459852862406980e-01	-2.150032292086206664e-01
2.945891783567133881e-01	4.448012488280774779e-01	-2.756327223632581980e-01
2.965931863727454543e-01	3.770381565360017007e-01	-2.702141682439298531e-01
2.985971943887775204e-01	2.811988352298792071e-01	-2.371426614448498560e-01
3.006012024048095865e-01	2.094124585607559375e-01	-2.282986662132934774e-01
3.026052104208416527e-01	1.993806842071876861e-01	-2.811344391250085728e-01
3.046092184368737188e-01	1.429410130994923922e-01	-2.872383765283000323e-01
3.066132264529057849e-01	6.753228272890490769e-02	-2.738014948981004615e-01
3.086172344689378511e-01	2.449745505991907449e-02	-2.919212007072619075e-01
3.106212424849699172e-01	-8.659680733036179134e-02	-2.409218395480051678e-01
3.126252505010019833e-01	-9.039306460384768926e-02	-2.959227329302311915e-01
3.146292585170340494e-01	-2.254804821603514364e-01	-2.181017392959186396e-01
3.166332665330661156e-01	-3.405450738844537639e-01	-1.585459339103749699e-01
3.186372745490981817e-01	-4.459627724217506972e-01	-1.066594376910839359e-01
3.206412825651302478e-01	-4.984280342162303867e-01	-1.055356836798391207e-01
3.226452905811623140e-01	-4.763321018515161986e-01	-1.765799951621722652e-01
3.246492985971943801e-01	-5.095568979582806302e-01	-1.897164978415561976e-01
3.266533066132264462e-01	-5.476894273902335186e-01	-1.951744861719842961e-01
3.286573146292585124e-01	-6.693697461986987118e-01	-1.141411822737898873e-01
3.306613226452905785e-01	-6.703214342024664818e-01	-1.507319477518638262e-01
3.326653306613226446e-01	-7.327653500331495762e-01	-1.225771668242169321e-01
3.346693386773546552e-01	-8.276409982624061135e-01	-5.860146862586124161e-02
3.366733466933867214e-01	-8.132570175617344077e-01	-1.003737774017573470e-01
3.386773547094187875e-01	-7.964538512110308499e-01	-1.409451271394694949e-01
